model,horizon,block,n,mae,rmse,relative_mae,pinball_10,pinball_50,pinball_90,coverage_raw,coverage,width,mae_pct
ridge,4,test,7378,0.04084302108504663,0.056869199154463396,0.564722885637078,0.011841495366567565,0.020421510542523315,0.010556409621754703,0.6668473841149363,0.8560585524532394,0.15882466892031644,4.473897574885131
ridge,8,train,53771,0.056915076105251164,0.08668585442725088,0.5779673256349559,0.015396013340473984,0.028457538052625582,0.016425364016615446,0.8000037194770415,0.8345948559632516,0.19608259112587137,6.18713815005673
ridge,8,cal,6560,0.04123823227676502,0.05886733718322693,0.35292744149688254,0.010784982682563117,0.02061911613838251,0.0117293003116103,0.8717987804878049,0.9001524390243902,0.19608259112587145,4.688508761554786
ridge,8,test,7378,0.08732339186891647,0.11611766117626882,0.5408987796284981,0.01953028006467797,0.04366169593445823,0.0284440402586901,0.5974518839793982,0.6427216047709406,0.19608259112587142,10.408666538136126
gbm,1,train,56663,0.012699926778724464,0.02212418111795547,0.6657225405654419,0.0030227406114651076,0.006349963389362232,0.002837680897220199,0.8036461182782415,0.9293542523339745,0.05388388952237672,1.28213630000488
gbm,1,cal,6560,0.011042341195014524,0.014969737670971981,0.5119318703518231,0.0023355805162076112,0.005521170597507262,0.0026086088855000523,0.7344512195121952,0.9001524390243902,0.04423250127662791,1.1314477537928747
gbm,1,test,7378,0.01824768758182732,0.02470069711111653,0.8038741734259631,0.005155034829932035,0.00912384379091366,0.004208870635750301,0.6153429113580916,0.7659257251287612,0.05226298909930968,1.8554634161342107
gbm,2,train,56242,0.016111448106582212,0.026891869083258465,0.5334427041423885,0.003786773522494571,0.008055724053291106,0.0036508846592927064,0.8030119839266029,0.9559226201059706,0.08050090517024741,1.642755810773429
gbm,2,cal,6560,0.017099533258510068,0.023845448324780947,0.43508544751630923,0.00331182852365325,0.008549766629255034,0.004856055052477942,0.6978658536585366,0.9001524390243902,0.071036605501218,1.794094201454505
gbm,2,test,7378,0.02651131131035299,0.03699702175040727,0.7335958581334275,0.008081529302956312,0.013255655655176495,0.005172625443509697,0.6687449173217674,0.8320683111954459,0.08439985298735177,2.748413931955017
gbm,4,train,55406,0.023721793268053314,0.03756782936088134,0.4481116315949041,0.005318269398568329,0.011860896634026657,0.005560303006413301,0.8035591813161029,0.9780709670432806,0.14880603108942678,2.4732865011774567
gbm,4,cal,6560,0.0278846802898156,0.04048645076265341,0.4059674694567311,0.005135637761298019,0.0139423401449078,0.009809428376453202,0.6324695121951219,0.9001524390243902,0.12735354544738925,3.038937763104414
gbm,4,test,7378,0.041570820723263215,0.054096198552677326,0.5747859294800753,0.010097433169656582,0.020785410361631607,0.008749770397004164,0.6340471672539983,0.9048522634860395,0.16350484800226342,4.489141321534728
gbm,8,train,53771,0.041735224931028325,0.06411409450684363,0.42381734311577673,0.00899950213544541,0.020867612465514163,0.010225452252356323,0.8039649625262688,0.9491547488423128,0.20684679658554975,4.563806036960362
gbm,8,cal,6560,0.044223985472315666,0.059375044082797646,0.3784802884078436,0.007887157472271616,0.022111992736157833,0.013543200791060335,0.7044207317073171,0.9001524390243902,0.19052484134884187,5.057088629510386
gbm,8,test,7378,0.08843732977421445,0.11135904862338607,0.5477987366808086,0.017755790114443486,0.044218664887107226,0.024261996529405635,0.5151802656546489,0.7252642992680943,0.22193584318653328,10.21884408783084
